19991129 00:00,942500,997500,932500,945000,4019000
19991130 00:00,981300,1037500,973800,978300,6855000
19991201 00:00,1010000,1045000,1000600,1030000,5264800
19991202 00:00,1031300,1106300,1017500,1101900,4747300
19991203 00:00,1121900,1155600,1118800,1150000,5524600
19991206 00:00,1145600,1172500,1114400,1160600,4077600
19991207 00:00,1165600,1180000,1140000,1178100,3623200
19991208 00:00,1160000,1178800,1095000,1101300,3511400
19991209 00:00,1110000,1110000,1008800,1052500,7110200
19991210 00:00,1053100,1092500,990000,1030000,5427500
19991213 00:00,1023900,1025000,989400,990000,4412800
19991214 00:00,983800,997500,947500,949400,3721500
19991215 00:00,932500,972500,910600,970000,5317500
19991216 00:00,980000,983800,940000,982500,3952300
19991217 00:00,1008800,1020000,985000,999400,3618100
19991220 00:00,995600,996300,966300,981300,2322300
19991221 00:00,982500,1030600,979400,1021900,2554000
19991222 00:00,1028800,1045600,987500,998800,2840200
19991223 00:00,1018100,1042500,1010600,1033800,1950800
19991227 00:00,1043800,1044400,992500,992500,1430900
19991228 00:00,991300,996300,950000,981400,2076100
19991229 00:00,968100,1021900,955000,1006900,2412400
19991230 00:00,1021900,1041300,996300,1003100,1807000
19991231 00:00,1009400,1030000,995000,1027500,1432900
20000103 00:00,1048800,1125000,1016900,1120000,4505700
20000104 00:00,1082500,1106300,1011900,1026300,4321200
20000105 00:00,1037500,1105600,1030000,1040600,6494600
20000106 00:00,1061300,1070000,950000,950200,6347900
20000107 00:00,965000,1010000,955000,993800,3828400
20000110 00:00,1020000,1022500,947500,978000,4253200
20000111 00:00,959400,993800,920000,927500,3724600
20000112 00:00,950000,955000,870000,872500,8370700
20000113 00:00,944800,987500,925000,968100,8267800
20000114 00:00,1000000,1022500,993800,1004400,3283700
20000118 00:00,1010000,1060000,1004400,1040000,3783200
20000119 00:00,1056300,1082500,1033800,1064400,4831200
20000120 00:00,1155000,1215000,1135000,1135000,15612700
20000121 00:00,1142500,1142500,1101900,1113000,4073100
20000124 00:00,1084400,1127500,1051300,1062500,3619100
20000125 00:00,1050000,1131300,1023800,1122500,4126100
20000126 00:00,1100000,1141900,1097500,1101300,2893900
20000127 00:00,1088100,1130000,1071300,1100500,2756800
20000128 00:00,1081900,1108800,1006300,1016900,3502600
20000131 00:00,1010000,1037500,945000,1036900,5776000
20000201 00:00,1040000,1050000,1000000,1002500,2636000
20000202 00:00,1007500,1021300,970000,987500,3987100
20000203 00:00,1003100,1042500,1002500,1033100,4093400
20000204 00:00,1039400,1100000,1036300,1079500,3573500
20000207 00:00,1080000,1141300,1059400,1140000,3769100
20000208 00:00,1140000,1161300,1112500,1148800,3506700
20000209 00:00,1141300,1171300,1125000,1126300,2493200
20000210 00:00,1128800,1138800,1095000,1135600,2627100
20000211 00:00,1136300,1141300,1082500,1087200,1753200
20000214 00:00,1093100,1158800,1086300,1158100,3050600
20000215 00:00,1152500,1199400,1151900,1190000,4187300
20000216 00:00,1177500,1181300,1121300,1139400,3209200
20000217 00:00,1151900,1155000,1131300,1148800,2480300
20000218 00:00,1146300,1153800,1108800,1113100,1835500
20000222 00:00,1101300,1169400,1066900,1140000,3623500
20000223 00:00,1132300,1190000,1110000,1162500,3696800
20000224 00:00,1173100,1191300,1117500,1152500,3166200
20000225 00:00,1148100,1170000,1101300,1103800,2073000
20000228 00:00,1101300,1150000,1083800,1132000,2669100
20000229 00:00,1135600,1172500,1125600,1146400,2999600
20000301 00:00,1185600,1320600,1185000,1303100,8824100
20000302 00:00,1270000,1279400,1206900,1220000,2567000
20000303 00:00,1248800,1282300,1200000,1280000,2594700
20000306 00:00,1260000,1291300,1250000,1255000,1714600
20000307 00:00,1264400,1274400,1211300,1228800,2278600
20000308 00:00,1228800,1239400,1185600,1220000,2304900
20000309 00:00,1208800,1250000,1182500,1221900,2337700
20000310 00:00,1216900,1279400,1210000,1253100,2083600
20000313 00:00,1221300,1265000,1195600,1212500,2532100
20000314 00:00,1212300,1242500,1140000,1144400,3672400
20000315 00:00,1156300,1202500,1141300,1162300,3746800
20000316 00:00,1173100,1220000,1145000,1215600,3214100
20000317 00:00,1201300,1250000,1196300,1249400,2406200
20000320 00:00,1235000,1262500,1223800,1229400,1735100
20000321 00:00,1225600,1367500,1216300,1349400,4372000
20000322 00:00,1327800,1443800,1315600,1442000,4674600
20000323 00:00,1420000,1503800,1400000,1412500,4674200
20000324 00:00,1424400,1439400,1355000,1385600,3725600
20000327 00:00,1376300,1447500,1368800,1395000,2361800
20000328 00:00,1372500,1420000,1371300,1391700,1702400
20000329 00:00,1393800,1394400,1338300,1358900,2030500
20000330 00:00,1335600,1376900,1254400,1257500,3449300
20000331 00:00,1274400,1372500,1260000,1358100,3318000
20000403 00:00,1355000,1395000,1294400,1333800,2764500
20000404 00:00,1326300,1330000,1167500,1275000,5196400
20000405 00:00,1264700,1328800,1240000,1302500,3662600
