#right,strike,expiry,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,94.2800,94.2900,94.2800,93.7700,3068,,,,,,,
C,48.57,20150417,45.4500,46.3500,44.8500,45.3000,0,,0.1990862,0.7583186,0.0017434,0.0198571,0.0594600,0.4011372
C,48.57,20160115,45.5750,46.9000,44.3250,45.1750,0,56,3.7326573,0.6018290,0.0000515,0.0163790,0.0432076,0.0077760
C,49.29,20140621,44.7500,46.0500,44.0250,44.4750,0,7,0,0.9923072,0.0000000,0.0000000,0.0789056,0.0121515
C,49.29,20140719,44.7500,45.5250,44.1750,44.7750,0,42,1.0721070,0.9449156,0.0017999,0.0166945,0.0509552,0.0473293
C,49.29,20140816,44.7250,45.8250,43.9500,44.6500,0,,0.5566753,0.9416852,0.0005733,0.0047355,0.0728104,0.0869262
C,49.29,20141018,44.7000,45.8750,43.9500,44.6500,0,,1.5557875,0.7630352,0.0026768,0.1152787,-0.0091593,0.0945744
C,49.29,20150117,44.9000,46.1250,43.8750,44.2250,0,35,0.8953524,0.6994025,0.0036763,0.1441803,0.0262255,0.1838760
C,49.29,20150417,44.6750,45.6250,44.0500,44.5000,0,,0.1971598,0.7568238,0.0020173,0.0227544,0.0592417,0.4059222
C,50,20140621,44.1500,44.1500,44.1500,44.1500,0,7,0,0.9923072,0.0000000,0.0000000,0.0788910,0.0123265
C,50,20140719,43.8000,43.8000,43.8000,43.8000,0,870,0,0.9687504,0.0000000,0.0000000,0.0769944,0.0506464
C,50,20140816,44.0500,45.1000,43.1750,43.9500,0,,0.5441430,0.9415993,0.0005976,0.0048248,0.0727974,0.0881747
C,50,20141018,44.0500,45.0000,43.5250,43.9500,0,14,0,0.8959846,0.0000000,0.0000000,0.0711359,0.1748819
C,50,20150117,44.3000,44.3000,44.3000,44.3000,7,7513,0,0.8286846,0.0000000,0.0000000,0.0657176,0.2986530
C,50,20150417,44.5750,45.5000,42.8250,43.5500,0,,0.1927700,0.7558854,0.0022247,0.0245351,0.0591142,0.4111069
C,50,20160115,44.0000,44.4200,43.5300,43.5300,568,2969,0,0.6068993,0.0000000,0.0000000,0.0478631,0.7877827
C,50.71,20140621,43.4250,44.4500,42.7250,43.2000,0,,1.4647636,0.9894307,0.0004109,0.0012973,0.0680936,0.0124300
C,50.71,20140719,43.3250,44.3500,42.4750,43.4750,0,,1.8366786,0.8736817,0.0031537,0.0501119,-0.0548050,0.0390566
C,50.71,20140816,43.3250,44.4000,42.4500,43.0500,0,,0.5320786,0.9414942,0.0006249,0.0049337,0.0727748,0.0894196
C,50.71,20141018,43.3500,44.2750,42.5750,43.0000,0,,1.4814875,0.7577510,0.0028849,0.1183062,-0.0080148,0.0986214
C,50.71,20150117,43.6800,43.6800,43.6800,43.6800,2,72,0,0.8286846,0.0000000,0.0000000,0.0657031,0.3028939
C,50.71,20150417,43.3250,44.2000,42.7000,43.1750,0,,0.1901082,0.7543043,0.0025262,0.0274755,0.0588957,0.4157386
C,51.43,20140621,42.8000,43.9250,41.6750,42.3250,0,,2.3794338,0.9547910,0.0023469,0.0120374,-0.0831988,0.0116610
C,51.43,20140719,42.6750,43.6250,41.7250,42.7500,0,,1.8014283,0.8718873,0.0032597,0.0508020,-0.0542537,0.0396208
C,51.43,20140816,42.7500,43.6750,41.8000,42.3250,0,21,0,0.9457528,0.0000000,0.0000000,0.0751134,0.0914654
C,51.43,20141018,42.6250,43.5500,41.8750,42.3250,0,35,0.7833811,0.8088902,0.0039477,0.0856054,0.0381094,0.1435083
C,51.43,20150117,42.5000,43.6750,41.7250,42.5250,0,728,0,0.8286846,0.0000000,0.0000000,0.0656884,0.3071945
C,51.43,20150417,42.6000,43.5000,41.8750,42.3500,0,,0.1916118,0.7509489,0.0030558,0.0334987,0.0584243,0.4189179
C,51.43,20160115,42.9000,44.0000,41.4250,42.5500,0,224,0,0.6068993,0.0000000,0.0000000,0.0478341,0.8103133
C,52.14,20140621,42.1000,43.0000,41.1750,41.6250,0,,2.3403978,0.9536455,0.0024453,0.0123362,-0.0845777,0.0118071
C,52.14,20140719,41.9250,42.6750,40.9750,41.6500,0,7,0,0.9687504,0.0000000,0.0000000,0.0769504,0.0528141
