#symbol_id,symbol_value,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
AOL R735QTJ8XC9X,TWX,68.9900,68.9900,68.9900,68.9900,0,,,,,,,
AOL 2ZTXYLQU0PVBA|AOL R735QTJ8XC9X,TWX   141018P00062500,0.9600,0.9600,0.9600,0.9600,0,2715,3.8068509,-0.1154123,0.0013398,0.0775773,-0.1191103,-0.1937368
AOL 2ZWFKA94DOIX2|AOL R735QTJ8XC9X,TWX   150117P00062500,2.3000,2.3000,2.3000,2.3000,0,2076,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 306CZK6WNGE6E|AOL R735QTJ8XC9X,TWX   160115P00062500,4.9000,4.9000,4.9000,4.9000,0,759,3.1433562,-0.0179116,0.0002422,0.0356245,-0.0093728,-0.9696539
AOL 2ZQOSEJQBKSPY|AOL R735QTJ8XC9X,TWX   140621P00065000,0.0700,0.0800,0.0700,0.0800,0,1275,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZRGCX5Z1PX7Q|AOL R735QTJ8XC9X,TWX   140719P00065000,0.2900,0.2900,0.2900,0.2900,0,571,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZTXYLO9EOKTI|AOL R735QTJ8XC9X,TWX   141018P00065000,1.4000,1.4000,1.4000,1.4000,0,2703,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZWFKA6JRN8FA|AOL R735QTJ8XC9X,TWX   150117P00065000,2.2500,2.2500,2.2500,2.2500,0,2819,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 306CZK4C1F3OM|AOL R735QTJ8XC9X,TWX   160115P00065000,6.1000,6.1000,6.1000,6.1000,0,10,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZQOSEMJ7ATOM|AOL R735QTJ8XC9X,TWX   140621P00067500,0.1100,0.2000,0.1100,0.2000,0,2841,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZRGCX8RXFY6E|AOL R735QTJ8XC9X,TWX   140719P00067500,0.5400,0.5600,0.5300,0.5600,0,1478,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZTXYLR2AELS6|AOL R735QTJ8XC9X,TWX   141018P00067500,1.9100,2.1000,1.9100,2.1000,0,621,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZWFKA9CND9DY|AOL R735QTJ8XC9X,TWX   150117P00067500,3.1000,3.1000,3.1000,3.1000,0,309,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 306CZK74X54NA|AOL R735QTJ8XC9X,TWX   160115P00067500,6.9000,6.9000,6.9000,6.9000,0,16,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZQOSEJGQBJ0M|AOL R735QTJ8XC9X,TWX   140621P00070000,0.5500,0.6900,0.5500,0.6900,0,1030,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZRGCX5PGGNIE|AOL R735QTJ8XC9X,TWX   140719P00070000,1.5300,1.5300,1.4500,1.4700,0,222,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZTXYLNZTFB46|AOL R735QTJ8XC9X,TWX   141018P00070000,2.9700,2.9700,2.9700,2.9700,0,707,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZWFKA6A6DYPY|AOL R735QTJ8XC9X,TWX   150117P00070000,4.6500,4.6500,4.6500,4.6500,0,383,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 306CZK42G5TZA|AOL R735QTJ8XC9X,TWX   160115P00070000,8.4000,8.4000,8.4000,8.4000,0,4,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZQOSEMRGZK5I|AOL R735QTJ8XC9X,TWX   140621P00072500,1.6300,1.9200,1.5700,1.9200,0,119,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZRGCX9074ONA|AOL R735QTJ8XC9X,TWX   140719P00072500,2.2600,2.6600,2.2600,2.6600,0,165,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZTXYLRAK3C92|AOL R735QTJ8XC9X,TWX   141018P00072500,4.0000,4.0000,4.0000,4.0000,0,286,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZWFKA9KX1ZUU|AOL R735QTJ8XC9X,TWX   150117P00072500,6.0500,6.0500,6.0500,6.0500,0,70,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 306CZK7D6TV46|AOL R735QTJ8XC9X,TWX   160115P00072500,9.5000,9.8750,7.5750,9.5250,0,5,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZQOSEJRZ457Q|AOL R735QTJ8XC9X,TWX   140621P00075000,3.8500,3.8500,3.7500,3.7500,0,70,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZRGCX60P99PI|AOL R735QTJ8XC9X,TWX   140719P00075000,4.7500,4.7500,4.7500,4.7500,0,10,0.5285447,-0.6962635,0.0282765,0.0735740,-0.0887297,-0.0620102
AOL 2ZTXYLOB27XBA|AOL R735QTJ8XC9X,TWX   141018P00075000,8.1500,8.1500,8.1500,8.1500,0,40,2.1895005,-0.2741589,0.0038888,0.1295046,-0.1236239,-0.2098315
AOL 2ZWFKA6LF6KX2|AOL R735QTJ8XC9X,TWX   150117P00075000,7.4500,7.7500,7.4500,7.7500,0,213,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 306CZK4DOYG6E|AOL R735QTJ8XC9X,TWX   160115P00075000,11.0000,11.3500,9.0000,11.0000,0,1,2.0820171,-0.0827304,0.0011929,0.1162047,-0.0240483,-1.1108179
AOL 2ZQOSEMZQOAME|AOL R735QTJ8XC9X,TWX   140621P00077500,6.2000,6.2000,6.2000,6.2000,0,20,3.0077103,-0.4870692,0.0110724,0.0473330,-0.6740363,-0.0161543
AOL 2ZRGCX98GTF46|AOL R735QTJ8XC9X,TWX   140719P00077500,6.4250,6.6750,6.2250,6.6750,0,,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZTXYLRITS2PY|AOL R735QTJ8XC9X,TWX   141018P00077500,7.7750,8.0250,7.2000,7.7500,0,,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZWFKA9T6QQBQ|AOL R735QTJ8XC9X,TWX   150117P00077500,9.1000,9.3000,9.1000,9.3000,0,63,3.1969703,-0.1083972,0.0012348,0.0946161,-0.0732251,-0.4267315
AOL 306CZK7LGILL2|AOL R735QTJ8XC9X,TWX   160115P00077500,16.3000,16.3000,16.3000,16.3000,0,14,0.9725581,-0.2743686,0.0046583,0.2119740,-0.0320806,-1.0578841
AOL 2ZQOSEJGW9V2E|AOL R735QTJ8XC9X,TWX   140621P00080000,8.8000,9.0000,8.5500,8.8250,0,,0.4094052,-0.9761374,0.0076637,0.0044594,-0.0628480,-0.0238054
AOL 2ZRGCX5PMEZK6|AOL R735QTJ8XC9X,TWX   140719P00080000,8.8000,9.0500,8.6000,9.0500,0,,2.8279623,-0.3818391,0.0060354,0.0840219,-0.3253799,-0.0635725
AOL 2ZTXYLNZZDN5Y|AOL R735QTJ8XC9X,TWX   141018P00080000,9.8500,10.1000,9.4000,9.8500,0,20,0.4846929,-0.6892415,0.0152828,0.1126674,-0.0592783,-0.2405913
AOL 2ZWFKA6ACCARQ|AOL R735QTJ8XC9X,TWX   150117P00080000,11.0500,11.0500,11.0500,11.0500,0,23,0.3203076,-0.7344671,0.0114175,0.0876504,-0.0471035,-0.4460619
AOL 306CZK42M4612|AOL R735QTJ8XC9X,TWX   160115P00080000,14.3250,15.2750,12.7500,14.3500,0,2,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZRGCX62CSM7A|AOL R735QTJ8XC9X,TWX   140719P00085000,16.0700,16.0700,16.0700,16.0700,0,1,0.3214513,-0.9557076,0.0045229,0.0071573,-0.0562181,-0.0898756
AOL 2ZTXYLOCPR9T2|AOL R735QTJ8XC9X,TWX   141018P00085000,14.3500,14.5500,13.7250,14.2750,0,,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZWFKA6N2PXEU|AOL R735QTJ8XC9X,TWX   150117P00085000,15.3500,15.3500,15.3500,15.3500,0,11,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 306CZK4FCHSO6|AOL R735QTJ8XC9X,TWX   160115P00085000,22.7000,22.7000,22.7000,22.7000,0,16,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZWFKA6AIAMTI|AOL R735QTJ8XC9X,TWX   150117P00090000,21.0000,21.0000,21.0000,21.0000,0,10,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 306CZK42S2I2U|AOL R735QTJ8XC9X,TWX   160115P00090000,22.2250,23.1500,20.5500,22.2250,0,10,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 2ZWFKA6OQ99WM|AOL R735QTJ8XC9X,TWX   150117P00095000,24.6750,24.9000,23.7000,24.5250,0,30,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
AOL 306CZK4H0155Y|AOL R735QTJ8XC9X,TWX   160115P00095000,26.5750,27.7250,25.2000,26.5500,0,,0.4404058,-0.5373747,0.0053668,0.1105876,-0.0332496,-1.4357396
AOL 306CZK41GHYUE|AOL R735QTJ8XC9X,TWX   160115P00100000,33.8000,33.8000,33.8000,33.8000,0,19,1.4846266,-0.1921041,0.0027332,0.1898577,-0.0333241,-1.4507742
AOL 306CZK4INKHNQ|AOL R735QTJ8XC9X,TWX   160115P00105000,35.6250,36.7500,34.3750,35.9500,0,,0.3970038,-0.5757860,0.0035646,0.0662135,-0.0332976,-1.6251064
