ANIK,ANIK,41.1,284562,10923832
ANIP,ANIP,31.35,50317,3100005
ANN,ANN,41.48,488984,31980177
ANR,ANR,4.24,3632870,23632909
ANSS,ANSS,77.02,742174,33387417
ANTH,ANTH,3.35,38593,194489
ANV,ANV,4.31,2673467,12954825
ANW,ANW,9.88,55217,1179162
AOA,AOA,45.36,4605,419699
AOD,AOD,8.4,295634,1717523
AOI,AOI,2.93,293115,627524
AOK,AOK,32.39,12605,221625
AOL,AOL,43.76,1303021,43839576
AOM,AOM,34.82,2715,429124
AON,AON,84.29,632948,83496547
AOR,AOR,39.14,10242,489486
AOS,AOS,46.02,425900,21441820
AOSL,AOSL,7.36,47473,177716
AP,AP,18.91,22381,353770
APA,APA,82.93,1441657,145937639
APAGF,APAGF,14.45,11701,204585
APAM,APAM,64.25,132228,14353965
APB,APB,10.33,1900,114648
APC,APC,84.76,1731298,194726620
APD,APD,119.04,920252,94861174
APEI,APEI,35.08,170479,4108059
APF,APF,16.88,54493,770679
APH,APH,91.65,556824,36572438
API,API,0.625,5595,15057
APL,APL,32.12,161596,8335188
APO,APO,31.79,513601,15277250
APOG,APOG,33.23,220445,3986619
APOL,APOL,34.24,1628731,39617630
APP,APP,0.49,954512,495320
APPY,APPY,2.63,209842,784099
APRI,APRI,2.15,93869,253354
IRCP,APSA,17.44,1399,20669
APT,APT,2.24,21677,65517
APTS,APTS,8.055,12008,196080
APU,APU,42.25,118732,6410176
APWC,APWC,2.73,820,22703
AQQ,AQQ,1.68,6632,24467
AQXP,AQXP,12.73,18194,6888084
AR,AR,62.58,535915,30667682
ARAY,ARAY,9.6,432060,5213667
ARC,ARC,7.44,98712,824304
ARCC,ARCC,17.62,1200094,22619881
ARCI,ARCI,3.03,847,32911
ARCO,ARCO,10.09,295692,4978160
VER,ARCP,14.02,4437378,83814964
ARCPP,ARCPP,22.77,114973,4019387
ARCW,ARCW,34.34,14465,737035
ARCX,ARCX,21.2,937,266632
ARDC,ARDC,18.13,30744,600598
ARE,ARE,72.56,161362,17340623
AREX,AREX,20.91,484738,12421722
ARG,ARG,106.51,489320,32820661
ARGS,ARGS,10,228917,2315354
ARGT,ARGT,19.78,3334,57871
ARI,ARI,16.63,144853,2834215
ARIA,ARIA,8.06,5955441,66492825
ARII,ARII,70.03,257860,15320062
ARIS,ARIS,3.16,400,50480
ARKR,ARKR,22.01,1306,35691
ARL,ARL,9.48,1242,39814
ARLP,ARLP,84.14,23299,3129287
ARMF,ARMF,21.99,22682,272653
ARMH,ARMH,50.97,1282951,53751975
ARMK,ARMK,28.71,471955,9239697
ARN,ARN,26.4,5511,135104
ARNA,ARNA,6.3,4709942,24254485
ARO,ARO,5.02,1296636,16391163
AROW,AROW,26.44,34345,462281
ARP,ARP,20.9,169663,7188153
ARPI,ARPI,17.99,115714,2417976
ARQL,ARQL,2.05,177407,414892
ARR,ARR,4.13,1488988,9037884
ARRS,ARRS,28.18,1070995,38522945
ARRY,ARRY,4.7,1017223,4622914
TREC,ARSD,10.85,30792,372058
ARTC,ARTC,48.19,78366,11864373
ARTNA,ARTNA,22.46,12800,217140
ARTW,ARTW,6.2,8783,15376
ARTX,ARTX,6.22,2262949,6660005
ARU,ARU,25.35,7458,111334
ARUN,ARUN,18.75,1617850,25034445
ARW,ARW,59.32,415094,24938613
ARWR,ARWR,16.42,1188437,18597764
ARX,ARX,8.32,68101,458359
ARY,ARY,26,5500,230240
ASA,ASA,13.38,55413,455149
ASBB,ASBB,17.8,1503,52202
ASBC,ASBC,18.06,737840,15629816
ASBCW,ASBCW,2.34,200,7574
ASBI,ASBI,13.84,61,13058
ASC,ASC,13.31,41431,1503561
ASCMA,ASCMA,75.55,33655,3129574
ASEA,ASEA,16.04,5180,259469
ASEI,ASEI,67.17,13328,1277150
ASFI,ASFI,8.27,983,35444
ASG,ASG,5.58,22925,150339
ASGN,ASGN,38.59,329008,9089534
ASH,ASH,99.47,401063,45709128
ASHR,ASHR,21.825,39665,2190944
ASM,ASM,1.53,49931,279579
ASMI,ASMI,40.13,5169,109768
ASML,ASML,93.36,349951,45540883
ASNA,ASNA,17.28,567127,14996002
ASP,ASP,9.87,1110,94293
ASPS,ASPS,121.66,168984,22775672
ASPX,ASPX,30.76,566732,16177008
ASR,ASR,122.72,45717,6375261
ASRV,ASRV,3.85,19707,148809
ASRVP,ASRVP,26.45,4344,42552
ASTC,ASTC,2.35,17472,205154
ASTE,ASTE,43.91,96151,4122762
ASTI,ASTI,0.6099,372843,256997
VCEL,ASTM,4.39,393367,1364682
ASUR,ASUR,6.45,1522,41285
ASX,ASX,5.55,1991914,3089105
ASYS,ASYS,12.17,24138,555976
AT,AT,2.89,396899,2044841
ATAI,ATAI,3.98,42450,80461
ATAX,ATAX,6.04,53264,1026642
ATE,ATE,10.8,218,74175
ATEA,ATEA,2.9,5250,21568
ATEC,ATEC,1.5,209081,606196
ATEN,ATEN,15.03,233444,8867867
ATHL,ATHL,35.46,223472,11470138
ATHM,ATHM,38.39,211001,10693307
ATHN,ATHN,160.24,268234,60715087
ATHX,ATHX,3.24,578136,1733512
ATI,ATI,37.67,852460,31748764
OA,ATK,142.15,158661,33304485
ATL,ATL,0.475,238631,28911
ATLC,ATLC,2.29,4472,8654
ATLO,ATLO,22.04,9990,156649
ATLS.2,ATLS,43.05,320425,10341812
ATMI,ATMI,34.01,268351,9530184
ATML,ATML,8.36,2964502,27060278
ATMP,ATMP,27.93,3392,266090
ATNI,ATNI,65.92,101773,3809468
ATNM,ATNM,12.49,35250,247412
ATNY,ATNY,2.93,52623,139563
ATO,ATO,47.12,392493,17180304
ATOS,ATOS,1.69,63773,271485
ATR,ATR,66.08,143523,8238371
ATRC,ATRC,18.81,102615,2247398
ATRI,ATRI,306.14,4913,961734
ATRM,ATRM,4.68,4823,57149
ATRO,ATRO,63.41,103490,5374395
ATRS,ATRS,3.5,1523852,3090726
ATSG,ATSG,7.85,89037,879928
ATTU,ATTU,9.33,50179,531233
ATU,ATU,34.15,495455,17552089
ATV,ATV,1.61,400,5702
ATVI,ATVI,20.44,4049934,85775030
ATW,ATW,50.37,378642,24583592
AU,AU,17.08,2476836,42715130
AUBN,AUBN,23.2,6824,31945
AUD,AUD,93.85,274,109826
AUDC,AUDC,7.25,183096,2082682
AUMN,AUMN,0.8363,80013,189461
AUNZ,AUNZ,20.41,3067,49027
AUO,AUO,3.48,412896,1043011
AUQ,AUQ,4.36,1397234,7042524
AUSE,AUSE,61.27,105,78348
AUXL,AUXL,27.18,502515,25351321
AUY,AUY,8.78,3766284,42674449
AV,AV,16.02,85187,1168906
AVA,AVA,30.65,325874,6284276
AVAV,AVAV,40.25,351440,14728338
AVB,AVB,131.29,594737,73542989
AVD,AVD,21.66,107275,2892449
AVEO,AVEO,1.495,274628,565634
AVG,AVG,20.95,317298,7225082
AVGO,AVGO,64.41,830862,80216573
AVH,AVH,17.05,119310,2924546
AVHI,AVHI,18.09,20086,342494
AVIV,AVIV,24.46,91293,1987378
AVK,AVK,18.57,25526,593656
AVL,AVL,0.6399,1273935,171962
AVNR,AVNR,3.67,744486,5417664
AVNW,AVNW,1.59,269476,293868
AVP,AVP,14.65,2583415,34704007
AVT,AVT,46.52,584653,29057561
AVV,AVV,27.69,16406,505117
AVX,AVX,13.16,192274,1940006
AVY,AVY,50.67,489525,27074182
AWAY,AWAY,37.67,1040495,41436148
AWF,AWF,14.77,112053,1604070
AWH,AWH,103.24,96588,12874495
AWI,AWI,53.26,456566,34515774
AWK,AWK,45.39,619593,20430166
AWP,AWP,7.05,113315,891024
AWR,AWR,32.27,77809,4027812
AWRE,AWRE,5.79,17635,125397
AWX,AWX,5.19,10875,27392
AXAS,AXAS,3.96,560770,3263861
AXDX,AXDX,21.81,810937,2768944
AXE,AXE,101.49,101609,18110063
AXGN,AXGN,3.05,11327,50135
AXJL,AXJL,65.59,2240,114532
AXJS,AXJS,57.76,8121,358495
AXL,AXL,18.53,822925,17090719
AXLL,AXLL,44.91,537194,28469971
AXN,AXN,0.411,5081,10409
AXP,AXP,90.03,3477158,216246864
AXR,AXR,6.32,5580,44704
AXS,AXS,45.86,361993,21161047
AXTI,AXTI,2.2,8476,51141
AXU,AXU,1.5,75920,360452
AXX,AXX,1.46,8950,19698
AYI,AYI,132.58,263408,36377547
AYN,AYN,12.5,11128,104946
AYR,AYR,19.39,234972,4575251
AYT,AYT,45.65,1000,83269
AZC,AZC,3.09,334834,519627
AZIA,AZIA,12.65,10,9110
AZN,AZN,64.88,1046437,80787569
AZO,AZO,536.82,229289,100403914
AZPN,AZPN,42.36,320328,14163474
AZZ,AZZ,44.66,169536,4102033
B,B,38.46,110034,6944081
BA,BA,125.5,1628839,376443754
BAA,BAA,0.5,846157,453887
BAB,BAB,28.76,35877,913428
BABS,BABS,57.38,981,80662
BABY,BABY,25.8,281061,5752961
BABZ,BABZ,49.35,847,48526
BAC,BAC,17.21,34693894,1051560083
BAF,BAF,13.74,15541,144298
BAGL,BAGL,16.46,35864,771177
BAGR,BAGR,5,30060,173925
BAH,BAH,22.01,244255,8013962
BAK,BAK,15.62,124011,3814123
BAL,BAL,58.15,5716,514623
BALT,BALT,6.3,197218,2450974
BAM,BAM,40.81,380402,19557238
BAMM,BAMM,2.4,1500,15600
BANC,BANC,12.27,71680,752041
BOCA,BANCL,25.6,405,69037
BANCP,BANCP,26,2299,51155
BANF,BANF,56.63,19491,840803
BANFP,BANFP,27.23,55,28957
BANR,BANR,41.21,86323,3978890
BANX,BANX,24.58,3524,214680
BAP,BAP,137.43,274117,29374087
BAS,BAS,27.41,557168,22496699
BASI,BASI,2.51,2600,29396
BAX,BAX,73.59,2006387,203137789
BAXS,BAXS,1.08,251636,263945
BBBY,BBBY,68.8,1271945,113022504
BBCN,BBCN,17.14,472602,5904714
BBD,BBD,13.68,10662192,98678100
